city,streetAddress,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_saledate,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,houseAge,pricePerSqFt
austin,2616 Lynnbrook Dr,78748,30.16867446899414,-97.83817291259766,1.98,0,True,True,False,True,False,False,Single Family,0,2002,360000.0,5,2019-09-12,9,2019,24,0,3,1,0,0,0,0,0,9104.0,2310.0,1,0,1,1,1.8,5.0,1450,15,3.0,3,2,23,155.84415584415584
austin,10705 Finsbury Dr,78748,30.16897964477539,-97.83895874023438,1.98,0,True,True,False,True,False,False,Single Family,0,2003,315000.0,4,2018-02-23,2,2018,1,0,4,1,0,0,0,0,0,6969.0,2168.0,1,0,1,1,1.8,5.0,1450,15,3.0,3,2,22,145.2952029520295
austin,10320 Beard Ave,78748,30.17145538330078,-97.83634948730467,1.98,2,True,True,True,True,False,False,Single Family,2,2004,275000.0,7,2020-10-22,10,2020,37,0,4,2,3,1,0,0,0,6098.0,2086.0,1,0,1,1,1.7666666666666666,5.0,1450,15,3.0,3,2,21,131.83125599232983
austin,10409 Beard Ave,78748,30.17070770263672,-97.8358154296875,1.98,0,True,True,False,True,False,False,Single Family,0,2004,210000.0,7,2019-05-23,5,2019,1,0,3,1,0,0,0,0,0,6098.0,1945.0,1,0,1,1,1.8,5.0,1450,15,3.0,3,2,21,107.96915167095116
austin,10500 Beard Ave,78748,30.16984748840332,-97.83631896972656,1.98,2,True,True,True,True,False,False,Single Family,2,2004,384500.0,3,2020-08-17,8,2020,54,0,4,2,2,2,0,2,0,6272.0,2168.0,1,0,1,1,1.8,5.0,1450,15,3.0,3,2,21,177.35239852398524
austin,10317 Beard Ave,78748,30.17166328430176,-97.83582305908205,1.98,0,True,True,False,True,False,False,Single Family,0,2004,325000.0,2,2019-04-09,4,2019,25,0,3,1,0,0,0,0,0,6098.0,1826.0,1,0,1,1,1.7666666666666666,5.0,1450,15,2.0,3,1,21,177.98466593647316
austin,10306 Gail Rd,78748,30.17137145996093,-97.83208465576172,1.98,0,False,True,False,True,False,False,Single Family,0,1973,199999.0,2,2019-05-21,5,2019,16,0,1,1,0,0,0,0,0,12632.4,768.0,1,0,1,1,1.8,5.0,1450,15,1.0,2,1,52,260.4153645833333
austin,10605 Hendon St,78748,30.1672306060791,-97.8357391357422,1.98,2,True,True,True,True,False,False,Single Family,2,2003,250000.0,4,2018-07-18,7,2018,33,0,3,2,0,0,0,0,0,6272.0,1945.0,1,0,1,1,1.8333333333333333,5.0,1450,15,3.0,3,2,22,128.53470437017995
austin,3101 Lynnbrook Dr,78748,30.16774559020996,-97.84384155273438,1.98,3,True,True,True,True,False,False,Single Family,3,2006,399000.0,1,2020-02-14,2,2020,31,0,4,2,4,1,0,1,0,10846.0,2185.0,1,0,1,1,1.8333333333333333,5.0,1450,15,2.0,3,1,19,182.6086956521739
austin,10817 Pall Mall Dr,78748,30.168365478515625,-97.84532165527344,1.98,1,True,True,True,True,False,False,Single Family,1,2007,399000.0,1,2020-06-15,6,2020,68,0,4,2,1,1,0,0,0,9951.0,2185.0,1,0,1,1,1.8666666666666665,5.0,1450,15,2.0,3,1,18,182.6086956521739
austin,10201 Ivanhoe Trl,78748,30.176156997680664,-97.84236907958984,1.98,0,False,True,False,True,True,False,Single Family,0,1984,299900.0,1,2019-02-11,2,2019,26,0,2,1,0,0,0,0,0,9104.0,1636.0,1,0,1,1,1.8666666666666665,5.0,1450,15,2.0,3,1,41,183.31295843520783
austin,10713 Pall Mall Dr,78748,30.16946220397949,-97.84400177001952,1.98,0,True,True,False,True,False,True,Single Family,0,2008,354900.0,3,2018-08-25,8,2018,53,0,3,1,0,0,0,0,0,6229.0,2310.0,1,0,1,1,1.8666666666666665,5.0,1450,15,3.0,4,1,17,153.63636363636363
austin,3208 Lynnbrook Dr,78748,30.16902160644531,-97.84423828125,1.98,0,True,True,False,True,False,False,Single Family,0,2006,312500.0,1,2020-06-19,6,2020,1,0,7,1,0,0,0,0,0,6098.0,2443.0,1,0,1,1,1.8666666666666665,5.0,1450,15,3.0,4,2,19,127.91649611133852
austin,3013 Rochelle Dr,78748,30.177696228027344,-97.84336853027344,1.98,1,False,True,True,True,False,False,Single Family,1,1983,304900.0,2,2018-12-12,12,2018,30,0,2,2,0,0,0,0,0,7143.0,1382.0,1,0,1,1,1.9,5.0,1450,15,2.0,3,1,42,220.62228654124456
austin,3015 Rochelle Dr,78748,30.17786979675293,-97.84335327148438,1.98,0,False,True,False,True,False,False,Single Family,0,1983,315000.0,2,2018-09-12,9,2018,25,0,3,1,0,0,0,0,0,8145.0,1281.0,1,0,1,1,1.9,5.0,1450,15,2.0,3,1,42,245.9016393442623
austin,3200 Lynnbrook Dr,78748,30.16874694824219,-97.8440170288086,1.98,0,True,True,False,True,False,False,Single Family,0,2006,226900.0,6,2019-05-29,5,2019,1,0,4,1,0,1,0,1,0,7840.0,1945.0,1,0,1,1,1.8666666666666665,5.0,1450,15,3.0,3,2,19,116.65809768637533
austin,2609 Bolton St,78748,30.170787811279297,-97.8366241455078,1.98,0,True,True,False,True,False,False,Single Family,0,2004,319900.0,2,2018-09-27,9,2018,32,0,4,1,0,0,0,0,0,7230.0,2086.0,1,0,1,1,1.8,5.0,1450,15,3.0,3,2,21,153.35570469798657
